City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,houma,US,29.5958,-90.7195,75.0,94,90,17.27
229,nchelenge,ZM,-9.3451,28.734,71.87,78,62,2.37
230,zhanakorgan,KZ,43.9098,67.2495,45.09,61,100,12.88
231,djenne,ML,13.9061,-4.5533,97.68,7,4,8.93
232,nioro,GM,13.35,-15.75,103.93,6,1,7.45
233,jejuri,IN,18.2833,74.1667,80.35,40,15,7.96
234,astoria,US,46.1879,-123.8313,46.4,81,90,14.97
235,chuy,UY,-33.6971,-53.4616,72.75,72,70,8.28
236,san jose,US,37.3394,-121.895,72.0,40,0,2.04
237,omboue,GA,-1.5746,9.2618,79.23,85,64,8.61
238,ulaangom,MN,49.9811,92.0667,18.64,78,100,5.03
239,mount pleasant,US,32.7941,-79.8626,81.0,69,1,16.11
240,ugoofaaru,MV,5.6667,73.0,84.54,68,100,12.08
241,nouna,BF,12.7333,-3.8667,98.08,8,3,6.67
242,shenjiamen,CN,29.9576,122.298,55.63,90,0,8.32
243,portland,US,45.5234,-122.6762,50.0,71,75,16.11
244,leh,IN,34.1667,77.5833,41.07,53,99,8.46
245,ilhabela,BR,-23.7781,-45.3581,84.51,68,45,5.41
246,ribas do rio pardo,BR,-20.4431,-53.7592,97.83,20,25,6.24
247,garmsar,IR,35.2182,52.3409,52.41,30,0,8.81
248,vadso,NO,70.0744,29.7487,37.4,80,20,10.36
249,rena,NO,61.1348,11.3641,37.99,92,82,4.36
250,saint anthony,US,45.0205,-93.218,42.01,41,90,10.36
251,panjab,AF,34.388,67.0233,33.62,79,33,4.7
252,bitam,GA,2.076,11.5007,71.42,82,96,4.05
253,itarema,BR,-2.9248,-39.9167,83.53,68,40,7.87
254,yurgamysh,RU,55.3714,64.4656,23.31,86,59,11.32
255,kyren,RU,51.6828,102.1408,25.36,75,52,1.92
256,tanout,NE,14.9709,8.8879,79.47,11,0,13.2
257,den helder,NL,52.9599,4.7593,48.0,93,90,25.32
258,suntar,RU,62.1444,117.6319,6.04,98,96,3.22
259,port keats,AU,-14.25,129.55,78.62,80,86,7.05
260,bubaque,GW,11.2833,-15.8333,76.95,67,8,13.42
261,kungurtug,RU,50.5994,97.5228,22.64,81,100,2.3
262,yumen,CN,40.2833,97.2,46.2,53,34,9.89
263,goundi,TD,9.3627,17.366,90.55,23,77,6.02
264,verkh-usugli,RU,52.7,115.1667,12.94,87,6,4.52
265,puerto del rosario,ES,28.5004,-13.8627,69.8,68,20,16.11
266,port shepstone,ZA,-30.7414,30.455,68.97,68,61,6.31
267,kysyl-syr,RU,63.8986,122.7617,6.01,99,97,3.15
268,tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,12.66
269,pacific grove,US,36.6177,-121.9166,63.0,55,1,3.44
270,kalmunai,LK,7.4167,81.8167,78.19,78,92,5.88
271,barrow,US,71.2906,-156.7887,-27.4,75,1,9.22
272,wanning,CN,18.8003,110.3967,73.87,96,64,8.28
273,naze,JP,28.3667,129.4833,64.83,88,62,5.55
274,cuauhtemoc,MX,28.4167,-106.8667,55.99,26,0,8.99
275,ostrovnoy,RU,68.0531,39.5131,35.22,98,100,15.37
276,lebork,PL,54.5392,17.7501,45.0,65,0,6.91
277,presidencia roque saenz pena,AR,-26.7852,-60.4388,76.48,45,28,5.26
278,yurty,RU,56.0498,97.6348,27.28,94,100,3.8
279,emerald,AU,-23.5333,148.1667,71.6,73,75,5.75
280,lalmohan,BD,22.3384,90.7419,80.46,70,48,12.71
281,teknaf,BD,20.8624,92.3058,75.69,83,94,3.8
282,hami,CN,42.8,93.45,58.26,27,40,7.96
283,lusambo,CD,-4.9667,23.45,75.49,79,74,3.33
284,fort saint james,CA,54.4333,-124.25,34.02,45,86,13.96
285,kununurra,AU,-15.7667,128.7333,75.2,100,99,3.53
286,dukat,RU,62.55,155.55,-10.68,94,100,4.12
287,golkoy,TR,40.6875,37.6178,44.6,87,0,2.3
288,sola,VU,-13.8833,167.55,82.22,76,19,17.25
289,darhan,MN,49.4867,105.9228,32.04,37,28,6.35
