City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,cabo san lucas,MX,1616636843,22.8909,-109.9124,66.0,63,40,17.27
125,mwinilunga,ZM,1616636843,-11.7358,24.4293,60.01,98,23,3.44
126,mount gambier,AU,1616636844,-37.8333,140.7667,64.4,63,75,17.27
127,albox,ES,1616636844,37.3886,-2.1495,51.01,71,1,5.99
128,tiksi,RU,1616636844,71.6872,128.8694,-14.15,91,49,4.65
129,qaqortoq,GL,1616636845,60.7167,-46.0333,15.8,53,75,14.97
130,soyo,AO,1616636845,-6.1349,12.3689,77.99,78,100,2.37
131,cruzeiro do oeste,BR,1616636846,-23.785,-53.0733,72.75,76,100,5.35
132,pleasanton,US,1616636658,37.6624,-121.8747,57.99,34,100,1.99
133,barra do garcas,BR,1616636846,-15.89,-52.2567,74.12,85,100,2.08
134,loucovice,CZ,1616636847,48.6202,14.2575,35.01,94,5,2.28
135,talnakh,RU,1616636847,69.4865,88.3972,16.14,94,100,10.87
136,anaconda,US,1616636847,46.1285,-112.9423,33.8,69,90,6.58
137,hilo,US,1616636848,19.7297,-155.09,86.0,48,1,18.41
138,shelburne,CA,1616636706,44.0787,-80.2041,54.0,78,1,14.65
139,maymyo,MM,1616636848,22.0333,96.4667,82.4,47,20,2.3
140,sattahip,TH,1616636849,12.6664,100.9007,91.99,79,20,2.3
141,mpika,ZM,1616636849,-11.8343,31.4529,61.66,96,86,7.54
142,kaoma,ZM,1616636850,-14.7833,24.8,60.87,97,8,4.9
143,nome,US,1616636850,64.5011,-165.4064,24.8,80,75,12.66
144,ponta do sol,PT,1616636850,32.6667,-17.1,57.0,68,99,1.99
145,korla,CN,1616636851,41.7597,86.1469,50.65,28,0,6.51
146,estacion coahuila,MX,1616636851,32.1939,-115.0017,73.4,9,40,5.75
147,kenai,US,1616636852,60.5544,-151.2583,35.6,80,90,10.36
148,khatanga,RU,1616636852,71.9667,102.5,-5.64,93,46,3.6
149,port elizabeth,ZA,1616636853,-33.918,25.5701,68.0,88,90,8.05
150,codajas,BR,1616636853,-3.8367,-62.0569,70.57,95,95,2.48
151,kaitangata,NZ,1616636853,-46.2817,169.8464,61.0,87,83,11.99
152,kolda,SN,1616636854,12.8833,-14.95,81.34,26,84,1.21
153,airai,TL,1616636854,-8.9266,125.4092,74.32,61,42,1.95
154,marsh harbour,BS,1616636631,26.5412,-77.0636,75.85,75,2,4.29
155,mahenge,TZ,1616636855,-8.6833,36.7167,61.65,97,44,2.01
156,lorengau,PG,1616636855,-2.0226,147.2712,84.51,70,74,6.91
157,rorvik,NO,1616636856,64.8621,11.2373,39.69,88,98,21.7
158,yabelo,ET,1616636856,4.8833,38.0833,56.43,38,8,7.11
159,bell ville,AR,1616636857,-32.6259,-62.6887,71.01,96,85,5.01
160,egvekinot,RU,1616636857,66.3167,-179.1667,9.27,89,100,3.02
161,casper,US,1616636857,42.8666,-106.3131,33.8,55,1,10.36
162,kandrian,PG,1616636858,-6.2167,149.55,84.63,65,96,4.81
163,aitape,PG,1616636858,-3.1374,142.3475,82.99,72,98,1.86
164,filipestii de padure,RO,1616636858,45.0,25.75,28.0,86,100,3.56
165,dhankuta,NP,1616636859,26.9833,87.3333,69.73,21,0,5.08
166,chihuahua,MX,1616636703,28.5,-106.0,55.4,35,20,26.46
167,santa rosa,PH,1616636843,14.3122,121.1114,89.01,58,20,3.44
168,pervomayskoye,RU,1616636859,43.919,46.7102,40.59,77,100,19.42
169,geraldton,AU,1616636860,-28.7667,114.6,75.2,46,1,19.57
170,san patricio,US,1616636860,28.017,-97.5169,75.2,94,90,10.36
171,mitsamiouli,KM,1616636861,-11.3847,43.2844,82.06,72,6,2.28
172,narsaq,GL,1616636861,60.9167,-46.05,15.8,53,75,14.97
173,tsiroanomandidy,MG,1616636862,-18.7667,46.0333,64.31,97,5,1.66
174,aguimes,ES,1616636862,27.9054,-15.4461,75.2,20,0,4.61
175,port hedland,AU,1616636863,-20.3167,118.5667,87.8,62,75,8.05
176,upernavik,GL,1616636863,72.7868,-56.1549,-25.06,93,69,4.36
177,salym,RU,1616636863,60.0625,71.4789,25.86,96,100,5.19
178,luganville,VU,1616636864,-15.5333,167.1667,83.57,73,95,5.79
179,cidreira,BR,1616636864,-30.1811,-50.2056,73.31,81,2,10.65
180,xinqing,CN,1616636865,48.2333,129.5,42.1,53,99,3.94
181,basar,IN,1616636865,27.9833,94.6667,68.0,88,75,8.05
182,abnub,EG,1616636865,27.2696,31.1511,66.2,37,0,12.66
183,pitimbu,BR,1616636866,-7.4706,-34.8086,75.2,100,90,5.75
184,tahe,CN,1616636866,52.3333,124.7333,33.12,66,96,2.33
185,seoul,KR,1616636755,37.5683,126.9778,57.2,62,20,4.61
186,castro,BR,1616636867,-24.7911,-50.0119,64.54,89,78,2.37
187,comodoro rivadavia,AR,1616636710,-45.8667,-67.5,59.0,36,0,5.75
188,tuktoyaktuk,CA,1616636867,69.4541,-133.0374,5.0,78,90,10.36
189,victoria,HK,1616636867,22.2855,114.1577,72.0,73,82,5.99
190,mahibadhoo,MV,1616636868,3.7833,72.9667,82.51,70,94,5.53
191,evensk,RU,1616636868,61.95,159.2333,12.18,86,100,2.04
192,yashkul,RU,1616636869,46.1711,45.3435,38.88,96,100,16.28
193,whitianga,NZ,1616636869,-36.8333,175.7,67.87,59,13,8.79
194,ancud,CL,1616636655,-41.8697,-73.8203,48.99,81,0,6.91
195,tchollire,CM,1616636870,8.4022,14.1698,76.24,63,100,4.12
196,urshelskiy,RU,1616636870,55.6783,40.2169,19.81,98,37,2.51
197,vilcun,CL,1616636870,-38.65,-72.2333,50.0,81,0,5.75
198,esmeraldas,BR,1616636871,-19.7625,-44.3139,75.2,68,0,5.75
199,norman wells,CA,1616636871,65.282,-126.8329,10.4,56,75,9.22
200,tarnos,FR,1616636871,43.5417,-1.4628,53.6,87,90,2.3
201,shakawe,BW,1616636872,-18.3667,21.85,67.77,81,38,1.81
202,half moon bay,US,1616636872,37.4636,-122.4286,55.4,81,40,11.5
203,barcelos,PT,1616636873,41.5388,-8.6151,46.99,100,0,2.64
204,alofi,NU,1616636873,-19.0595,-169.9187,86.0,74,75,9.22
205,mmabatho,ZA,1616636873,-25.85,25.6333,60.8,94,43,8.05
206,petropavlovsk-kamchatskiy,RU,1616636874,53.0452,158.6483,26.6,80,75,11.18
207,solnechnyy,RU,1616636874,50.7214,136.6319,32.88,54,38,4.41
208,rimbey,CA,1616636875,52.6334,-114.2353,35.6,93,100,14.97
209,asau,RO,1616636875,46.4333,26.4,34.0,75,75,10.36
210,kamina,CD,1616636876,-8.7386,24.9906,62.8,95,73,1.3
211,raymond,US,1616636876,43.9015,-70.4703,46.0,88,100,4.25
212,pevek,RU,1616636876,69.7008,170.3133,-10.59,89,100,2.08
213,amapa,BR,1616636877,1.0,-52.0,69.3,99,100,1.72
214,nanortalik,GL,1616636877,60.1432,-45.2371,17.11,58,43,32.08
215,vostochnyy,RU,1616636878,55.8167,37.8667,32.0,64,75,6.71
216,churapcha,RU,1616636878,62.0025,132.4325,-2.36,86,100,4.12
217,ilovlya,RU,1616636878,49.3033,43.9796,33.8,93,75,20.13
218,ostrovnoy,RU,1616636879,68.0531,39.5131,32.67,83,43,20.6
219,shieli,KZ,1616636879,44.1667,66.75,51.93,64,100,12.55
220,saint-leu,RE,1616636879,-21.15,55.2833,78.8,65,0,5.75
221,necochea,AR,1616636880,-38.5473,-58.7368,66.0,92,37,1.01
222,kankon,IN,1616636880,15.0167,74.0167,78.8,83,40,4.61
223,prabumulih,ID,1616636880,-3.45,104.25,75.18,96,100,1.45
224,aswan,EG,1616636881,24.0934,32.907,61.83,25,0,9.42
225,saint george,US,1616636620,37.1041,-113.5841,61.0,12,1,11.5
226,udachnyy,RU,1616636881,66.4167,112.4,3.42,86,100,7.38
227,sept-iles,CA,1616636882,50.2001,-66.3821,35.6,48,40,12.66
228,haines junction,CA,1616636882,60.7522,-137.5108,30.2,31,80,4.61
229,bilma,NE,1616636883,18.6853,12.9164,70.12,11,2,18.3
230,coahuayana,MX,1616636883,18.7333,-103.6833,75.2,50,1,9.22
231,sabang,ID,1616636883,5.8933,95.3214,83.41,72,64,17.16
232,faya,SA,1616636884,18.3851,42.4509,60.8,51,0,6.91
233,san rafael,AR,1616636585,-34.6177,-68.3301,65.82,37,1,7.52
234,huescar,ES,1616636884,37.811,-2.5412,46.99,75,5,2.17
235,caravelas,BR,1616636885,-17.7125,-39.2481,74.93,84,0,4.43
236,vardo,NO,1616636724,70.3705,31.1107,34.12,80,99,27.2
237,chute-aux-outardes,CA,1616636885,49.1168,-68.399,39.2,65,90,11.5
238,bo rai,TH,1616636885,12.5728,102.5371,90.0,57,39,2.95
239,denizli,TR,1616636670,37.8402,29.0698,24.8,86,75,8.05
240,bajil,YE,1616636886,15.0584,43.2851,76.1,51,0,2.64
241,irtyshskiy,RU,1616636886,58.3333,68.1333,25.52,93,99,9.35
242,strezhevoy,RU,1616636887,60.7333,77.5889,19.4,93,40,4.47
243,rundu,NA,1616636887,-17.9333,19.7667,65.89,84,100,3.02
244,vargem grande,BR,1616636879,-3.5431,-43.9158,72.72,99,100,2.35
245,hovd,MN,1616636888,48.0056,91.6419,32.86,16,36,3.4
246,tautira,PF,1616636888,-17.7333,-149.15,89.6,58,75,13.8
247,leh,IN,1616636888,34.1667,77.5833,22.21,73,96,2.24
248,ranong,TH,1616636889,9.9658,98.6348,80.6,83,20,2.3
249,verkhoyansk,RU,1616636889,67.5447,133.385,-8.61,84,99,2.42
250,lasa,IT,1616636890,46.6166,10.7002,41.0,74,0,8.05
251,pangnirtung,CA,1616636890,66.1451,-65.7125,-26.91,96,100,3.71
252,concordia,AR,1616636890,-31.393,-58.0209,77.0,81,83,10.0
253,elko,US,1616636891,41.0002,-115.5012,42.8,33,40,9.22
254,severnyy,RU,1616636891,50.677,36.5532,30.2,80,75,13.42
255,alexandria,EG,1616636773,31.2156,29.9553,51.8,87,40,6.91
256,kirakira,SB,1616636892,-10.4544,161.9205,84.61,70,80,5.17
257,rustenburg,ZA,1616636892,-25.6676,27.2421,60.98,80,62,2.64
258,pampas,PE,1616636893,-12.4,-74.9,48.42,90,91,3.71
259,husavik,IS,1616636893,66.0449,-17.3389,32.0,64,20,9.22
260,ferkessedougou,CI,1616636893,9.6,-5.2,78.85,61,58,5.53
261,venado tuerto,AR,1616636894,-33.7456,-61.9688,71.01,99,61,4.0
262,chulym,RU,1616636894,55.0997,80.9572,25.83,95,98,10.87
263,stornoway,GB,1616636895,58.2093,-6.3865,42.01,87,75,8.05
264,bairiki,KI,1616636895,1.3292,172.9752,86.0,70,40,6.91
265,antsohihy,MG,1616636895,-14.8796,47.9875,73.38,96,35,1.72
266,mozarlandia,BR,1616636896,-14.7447,-50.5706,74.82,71,100,4.61
267,caxito,AO,1616636896,-8.5785,13.6643,75.38,95,100,1.54
268,reyes,BO,1616636897,-14.3167,-67.3833,72.32,97,82,1.3
269,pangody,RU,1616636897,65.85,74.4859,6.64,96,99,10.42
270,coquimbo,CL,1616636763,-29.9533,-71.3436,59.0,88,0,3.44
271,miri,MY,1616636898,4.4148,114.0089,82.4,89,40,2.3
272,mastic beach,US,1616636898,40.7668,-72.8521,52.0,87,90,9.22
273,henties bay,NA,1616636899,-22.116,14.2845,62.01,94,25,1.99
274,noumea,NC,1616636899,-22.2763,166.4572,87.8,51,75,5.75
275,craig,US,1616636899,40.5153,-107.5464,42.8,26,90,11.5
276,mandalgovi,MN,1616636900,45.7625,106.2708,43.68,21,100,12.39
277,namatanai,PG,1616636900,-3.6667,152.4333,84.56,68,94,8.66
278,meseista,MK,1616636901,41.2386,20.7767,23.11,86,12,6.98
279,port blair,IN,1616636901,11.6667,92.75,84.29,71,61,8.05
280,maua,BR,1616636684,-23.6678,-46.4614,71.01,58,67,3.74
281,nishihara,JP,1616636902,26.1842,127.7558,71.6,68,40,11.5
282,faanui,PF,1616636902,-16.4833,-151.75,83.73,74,97,20.83
283,ribeira grande,PT,1616636902,38.5167,-28.7,56.86,64,32,3.47
284,kota kinabalu,MY,1616636903,5.9749,116.0724,86.0,70,20,3.44
285,aras,ES,1616636903,42.5617,-2.356,48.99,93,59,4.61
286,ikom,NG,1616636904,5.9667,8.7063,74.25,94,100,1.63
287,sao filipe,CV,1616636904,14.8961,-24.4956,72.54,71,2,12.53
288,chateaubelair,VC,1616636905,13.2833,-61.25,78.8,69,40,17.27
289,garowe,SO,1616636905,8.4054,48.4845,63.66,86,0,6.44
290,veraval,IN,1616636905,20.9,70.3667,78.87,36,1,8.95
291,brae,GB,1616636906,60.3964,-1.353,44.6,81,75,21.85
292,shaowu,CN,1616636906,27.3409,117.4831,64.62,60,1,3.02
293,buala,SB,1616636907,-8.145,159.5921,86.0,65,80,5.01
294,vestmannaeyjar,IS,1616636907,63.4427,-20.2734,35.49,56,100,4.09
295,jalalabad,AF,1616636907,34.4265,70.4515,60.31,60,82,1.32
296,upata,VE,1616636908,8.0086,-62.3989,72.88,70,6,6.22
297,sao joao da barra,BR,1616636901,-21.6403,-41.0511,76.19,89,3,3.96
298,zboriv,UA,1616636908,49.6648,25.141,28.45,74,5,4.94
299,xining,CN,1616636909,36.6167,101.7667,43.63,32,100,1.28
300,hasaki,JP,1616636909,35.7333,140.8333,66.0,59,75,11.5
301,ebreichsdorf,AT,1616636909,47.95,16.4,33.01,86,0,5.75
302,cholet,FR,1616636785,47.1667,-1.0,50.0,93,90,5.75
303,olafsvik,IS,1616636910,64.8945,-23.7142,30.72,62,85,7.83
304,qasigiannguit,GL,1616636910,68.8193,-51.1922,-4.0,77,90,5.75
305,saint-louis,SN,1616636911,16.3333,-15.0,77.04,28,67,12.57
306,plastun,RU,1616636911,44.7561,136.2939,40.19,68,100,7.2
307,ulcinj,ME,1616636911,41.9294,19.2244,42.8,42,0,6.91
308,manyana,BW,1616636912,-23.4,21.7167,67.5,70,28,5.17
309,bull savanna,JM,1616636912,17.8868,-77.5902,74.3,82,13,9.1
310,ajdabiya,LY,1616636913,30.7554,20.2263,56.17,54,96,10.83
311,aksarka,RU,1616636913,66.5606,67.7975,12.94,94,68,10.51
312,eyl,SO,1616636914,7.9803,49.8164,73.29,74,0,9.22
313,siocon,PH,1616636914,7.7061,122.1353,86.36,67,100,2.91
314,port lincoln,AU,1616636914,-34.7333,135.8667,67.06,52,5,12.15
315,kaliganj,BD,1616636915,23.4095,89.1402,89.51,19,2,9.06
316,annecy,FR,1616636755,45.9,6.1167,41.0,80,0,5.75
317,kamenka,RU,1616636915,51.3223,42.7678,33.01,91,100,15.28
318,khilok,RU,1616636916,51.3674,110.4676,31.35,71,100,4.68
319,matagami,CA,1616636916,49.7502,-77.6328,39.2,93,90,8.05
320,lunenburg,CA,1616636883,44.3835,-64.3155,44.01,100,100,2.3
321,mokhsogollokh,RU,1616636916,61.4681,128.9203,4.8,79,81,3.76
322,maraba,BR,1616636917,-5.3686,-49.1178,72.9,98,100,3.24
323,acajutla,SV,1616636804,13.5928,-89.8275,78.49,76,9,4.43
324,dunedin,NZ,1616636909,-45.8742,170.5036,57.0,91,100,15.99
325,natal,BR,1616636755,-5.795,-35.2094,78.8,89,40,5.75
326,saint pete beach,US,1616636917,27.7253,-82.7412,72.0,78,1,4.61
327,vanimo,PG,1616636918,-2.6741,141.3028,85.5,65,100,3.58
328,souillac,MU,1616636918,-20.5167,57.5167,73.4,100,0,4.61
329,kruisfontein,ZA,1616636919,-34.0033,24.7314,70.0,81,100,5.99
330,ames,US,1616636656,42.0347,-93.6199,42.8,75,90,8.05
331,cayenne,GF,1616636919,4.9333,-52.3333,80.01,94,20,8.68
332,muros,ES,1616636919,42.7762,-9.0603,43.0,91,98,4.79
333,eyrarbakki,IS,1616636920,63.863,-21.1481,28.4,100,75,3.44
334,isilkul,RU,1616636920,54.9109,71.2728,19.98,95,100,11.63
335,monrovia,LR,1616636921,6.3005,-10.7969,77.97,90,97,3.67
336,moshupa,BW,1616636921,-24.7782,25.4155,62.6,94,0,2.3
337,moerai,PF,1616636921,-22.4333,-151.3333,81.45,69,86,15.5
338,arraial do cabo,BR,1616636783,-22.9661,-42.0278,76.01,87,13,4.5
339,nyimba,ZM,1616636922,-14.5566,30.8149,62.8,95,0,2.89
340,uyuni,BO,1616636922,-20.4597,-66.825,52.45,62,78,7.74
341,sioux lookout,CA,1616636723,50.1001,-91.917,24.8,86,90,4.61
342,khovu-aksy,RU,1616636923,51.1333,93.6,25.29,76,87,1.21
343,havre-saint-pierre,CA,1616636923,50.2334,-63.5986,30.2,80,90,9.22
344,le pont-de-claix,FR,1616636924,45.1244,5.7064,46.99,80,0,4.61
345,khasan,RU,1616636924,42.4308,130.6434,43.23,72,35,4.52
346,fernley,US,1616636924,39.608,-119.2518,51.01,23,100,3.33
347,mulege,MX,1616636925,26.8833,-111.9833,59.04,53,1,0.65
348,laguna,US,1616636833,38.421,-121.4238,66.2,20,1,6.91
349,krasnoselkup,RU,1616636925,65.7,82.4667,11.05,98,98,8.12
350,teguldet,RU,1616636925,57.3064,88.1667,25.36,91,100,10.42
351,evanston,US,1616636926,42.0411,-87.6901,53.6,82,90,18.41
352,burnie,AU,1616636926,-41.0667,145.9167,61.92,79,100,16.84
353,baruun-urt,MN,1616636927,46.6806,113.2792,40.8,35,100,7.38
354,izhma,RU,1616636927,65.0083,53.9113,33.4,97,100,11.92
355,skovorodino,RU,1616636928,53.9833,123.9167,30.02,88,92,1.01
356,kuytun,RU,1616636928,54.3419,101.5036,30.27,83,100,12.28
357,opuwo,NA,1616636929,-18.0607,13.84,69.46,83,98,1.52
358,atbasar,KZ,1616636929,51.8,68.3333,3.83,99,98,1.74
359,taksimo,RU,1616636929,56.3444,114.8794,22.32,81,53,0.36
360,mattru,SL,1616636930,7.6244,-11.8332,76.73,80,100,0.83
361,djambala,CG,1616636930,-2.5447,14.7533,67.08,92,100,6.62
362,moron,AR,1616636931,-34.6534,-58.6198,75.99,77,68,4.18
363,sorland,NO,1616636931,67.667,12.6934,36.03,88,100,14.34
364,pyapon,MM,1616636843,16.2833,95.6833,84.43,59,100,5.5
365,gijon,ES,1616636931,43.5357,-5.6615,46.0,88,62,2.3
366,lugus,PH,1616636932,5.7036,120.8203,80.76,80,100,11.01
